Record Id;Nombre de Oportunidad;Sublínea;Familia de producto; VALORUSD 
4592454000228160000;COTIZACION DE SMG;SUR MEDIO AGRO;SULFATO DE MAGNESIO HEPTA; 26,000 
4592454000222010000;COTIZACION DE MAP;SUR MEDIO AGRO;FOSFATO MONOAMONICO SOLUBLE; 26,000 
4592454000179540000;AMINOACIDOS ABRIL-MAYO;Feed;ARGININA; 25,975 
4592454000434450000;NPK - 12.12.17;SUR CHICO AGRO;NPK GRANULADO; 25,800 
4592454000261470000;Magroplex - INKAS FERTILIZANTES;SUR CHICO AGRO;NPK GRANULADO; 25,500 
4592454000224130000;Cotización de fertilizantes noviembre- diciembre;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 25,500 
4592454000433870000;SOLUBLES - FEBRERO / ABRIL;CENTRO;SULFATO DE POTASIO SOLUBLE; 24,600 
4592454000256210000;Licitación Abr. May. Jun. - FRUCHINCHA;SUR CHICO AGRO;SULFATO DE MAGNESIO HEPTA; 24,497 
4592454000428270000;COTIZACION 30TM SOP - ENERO 2026;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 24,150 
4592454000428820000;COTIZACION FERT. ENERO 2026;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 24,150 
4592454000163280000;SAD - ENE24 - 45TM;Químicos;CARBONATO DE SODIO DENSO; 23,400 
4592454000292770000;Cot SOP - Septiembre;NORTE GRANDE AGRO;SULFATO DE POTASIO SOLUBLE; 23,340 
4592454000219750000;COTIZACION OCTUBRE;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 23,184 
4592454000209410000;Agr. la Candelaria - SEPT - DIC;NORTE CHICO AGRO;SULFATO DE POTASIO SOLUBLE; 22,875 
4592454000209410000;Agr. la Candelaria - SEPT - DIC;NORTE CHICO AGRO;FOSFATO MONOAMONICO SOLUBLE; 22,800 
4592454000300910000;GELATINA 280 - ENE - R.C.;Food;GELATINA 280; 22,800 
4592454000185040000;GELATINA - MAYO;Food;GELATINA 280; 22,750 
4592454000210660000;5300-YE_AGOSTO_MEQUIM;Equipos;EQUIPOS DE ALMACENAMIENTO; 22,680 
4592454000210660000;5300-YE_AGOSTO_SISSO;Equipos;EQUIPOS DE ALMACENAMIENTO; 22,680 
4592454000228150000;ASCORBATO DE SODIO - PROYECTO;Food;ACIDO ASCORBICO; 22,000 
4592454000172400000;LECHE ENTERA;Food;LECHE ENTERA; 21,500 
4592454000237050000;COTIZACION DE SAM;SUR MEDIO AGRO;SULFATO DE AMONIO ESTANDAR; 21,390 
4592454000220250000;LICITACION FDO LA ESPERANZA;SUR MEDIO AGRO;SULFATO DE ZINC; 21,294 
4592454000449260000;LECHE DESCREMA 4 TM;Food;LECHE DESCREMADA; 21,250 
4592454000200530000;leche entera;Food;LECHE ENTERA; 21,000 
4592454000229630000;META - NOV24- 60TM;Químicos;METABISULFITO DE SODIO; 20,970 
4592454000159980000;KLUBERSYNTH GH 6-460_ENE_TK ELEVADORES;Kluber Liviano;KL OTROS; 20,900 
4592454000213680000;NITRATO DE POTASIO - NITRATO DE MAGNESIO SEPT;NORTE CHICO AGRO;NITRATO DE POTASIO SOLUBLE; 20,800 
4592454000220950000;5300-YE_OCTUBRE_MDM SUPPLY;Equipos;EQUIPOS DE ALMACENAMIENTO; 20,250 
4592454000201900000;SOLUBLES JULIO SUIZA FOOD;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 20,240 
4592454000228160000;COTIZACION NOVIEMBRE;SUR MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 19,800 
4592454000231190000;COTIZACION MAP - AC FOSFORICO;NORTE MEDIO AGRO;ACIDO FOSFORICO TG; 19,800 
4592454000220250000;LICITACION FDO LA ESPERANZA;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 19,790 
4592454000220250000;LICITACION FDO LA ESPERANZA;SUR MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 19,673 
4592454000263290000;REQ. ICA 004-006 (mayo-jun);SUR MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 19,556 
4592454000240640000;COTIZACION ENERO 2;SUR MEDIO AGRO;SULFATO DE AMONIO ESTANDAR; 19,200 
